;;;
;;;
;;;
;;;
;REPUESTOS PARA BICICLETAS, ACCESORIOS Y OFERTAS;;
ARTICULO;DESCRIPCION;costo;sugerido
4065;PENETIT - 10 FUNCIONES ACEITE EN AEROSOL MULTIPROPOSITO 250CC;5199,35;6216,92
2013;"MTI - ACEITE ""SECO"" LCG-3F AEROSOL X 180ML";14310,92;16608,42
2080;DINI - ACEITE BOTELLITA PLASTICA DE 100CC;1783,00;2131,95
1603;MONTI - ANTIPINCHADURA GEL EN POMO GRANDE;4923,55;5887,13
117;SLIME - GEL ANTIPINCHADURA PARA CAMARAS 8 ONZAS;18193,30;21114,08
127;"SLIME - GEL ANTIPINCHADURA PARA ""SIN CAMARA"" 8 OZ.";19890,20;23083,40
2506;MIGUELITO - ASIENTO ROD.12 CON CA�O - TAPIZADO;3838,73;4590,00
2556;MIGUELITO - ASTO.DELFIN ROD.16/20 BICOL.SERIGRAF.;4316,27;5095,95
1696;POWER - ASIENTO NENA R.20 BLANCO CON FLORES BRILL.;3726,64;5028,36
 541;GCBA -  ASIENTO CICLOTURISMO ACOLCH.C/RES.SIMPLE;9138,09;10661,85
3349;ODESSY - ASIENTO PLAYERO MEDIANO C/OJO GATO RESOR-;11211,93;13406,22
1599;SADDLE - ASIENTO PLAYERO DEMEN C/ELASTOMERO NEGRO;10379,87;12605,00
48;MILLENIUM - ASIENTO MEDIANO RESORTE SIMPLE PU;6147,91;7465,84
4114;POWER - ASIENTO PLAYERO MARRON MEDIANO C/ELASTOM.;10779,92;12363,54
2947;SLP/CABRINI- ASIENTO MTB ACOLCH.NEGRO C/GRIS C/GR.;7168,19;8658,34
2948;SLP - ASIENTO MTB NEW CENTURY SEMIANCHO ACOLCH.C/;6598,95;8079,52
6834;"SLP - ASIENTO MTB SEMIANCHO""BRILLANTE"" ANTIPROST.";9578,20;11569,35
4067;SLP - ASIENTO MTB SUPER GEL ANTIPROST.C/GRAMPA NEGRO;15038,87;17453,24
321;SLP - ASIENTO MTB SUPER ANCHO ANTICOMPR.C/GRAMPA NEGRO;9270,04;11257,25
1286;ZENTHA - ASIENTO MTB ANCHO ANTIPROS.C/GRAMPA NEGRO/ROJO;11393,49;13222,62
2063;NECO AIFEIT - ASIENTO MTB ANTIPR. SEMIANCHO NEGRO;12858,98;15375,60
1143;FB - ASIENTO FREESTYLE R.20 NEGRO ACOLCHADO CHICO;9249,38;10734,29
3350;ASIENTO PLAYERO GRANDE NEGRO RES. SIMPLE - VARIOS;9451,08;11300,75
 210;SLP - ASIENTO.SPORT/PLAY.MEDIANO PU FORRADO RES.SP;7454,09;9554,91
1228;DONCA - BOCINA MUSICAL PLASTICA COLOR;2577,70;3082,19
801;I LOVE - CORNETA BLANCA CON ROSA o CELESTE;3519,12;4207,84
 291;JAULITA BOLILLERO 3/16  PARA MAZA DELANTERA COMUN;60,58;70,31
 292;JAULITA BOLILLERO 1/4 PARA MAZA TRASERA COMUN  C/U;103,56;134,26
 304;JAULITA BOLILLERO 5/16x9 PARA CENTRO PLAYERA   C/U;225,06;291,76
2114;BOLILLAS 1/4 WINNER ....................GRUESA;1598,06;2248,02
1316;BOLILLAS 3/16...............................GRUESA;908,98;1054,91
1532;BOLILLAS 5/32...............................GRUESA;372,20;431,95
 980;MAXXUM - BOLSO GRANDE C/CIERRE P/APLICAR A ASIENTO;6909,71;8262,00
3335;FABIO - PORTACELULAR GRANDE AL CUADRO C/CABLE USB;17806,04;20664,65
3355;SLP - BOLSO PORTACELULAR GRANDE AL MANUBIO LUJO;17340,69;20734,42
4143;SLP - BOLSO PORTACELULAR GRANDE AL CUADRO LUJO;15588,58;18091,19
1060;SMART - BOLSO PORTACELULAR GRANDE AL CUADRO;17786,09;21267,00
41;ONT B-SOUL - BOLSO PORTA CELULAR AL MANUBRIO;14381,06;16689,82
2100;JORSIN - CABLE DE FRENO DELANTERO MTB 6mm.CAB.TANQ;168,90;227,90
2101;JORSIN - CABLE DE FRENO TRASERO 0.6 X 1.80M;274,47;370,34
2717;JORSIN - CABLE CON FORRO DELANTERO NEGRO UNIVERSAL;791,50;1002,08
2718;JORSIN - CABLE CON FORRO NEGRO TRASERO UNIVERSAL;1274,95;1614,15
2137;JORSIN - CABLE DE CAMBIO 2,20 MTS;338,80;457,14
156;EASTMAN/WINNER - CABLE DE CAMBIO COMUN IMPORTADO;355,21;431,35
 510;"CYCLE CHAIN BUTTERFLY CADENA 1/8 ""GRUESA"" CAJA";2892,64;3374,98
1211;WINNER - CADENA 1/2 X 1 1/8 MOD. PLUS ECO;2580,90;3267,54
1206;TEC - CADENA 1/2 X 1/8 108L COMUN -BOLSITA;3107,79;3852,63
406;TAYA TB-408 - CADENA 6 VEL.ECO PASO FINO;3333,90;4220,87
5049;SLP - CADENA P7001 PASO FINO 7 V. INDEX;2803,38;3634,26
2985;TAYA OCTO - CADENA 8 VEL.APTA ACERA/ALIVIO/SOLA;15055,32;17472,33
1340;SHIMANO - CADENA HG40 P/8 V.116 ESL.- A GRANEL -;14055,82;16312,36
3016;TAYA TB-65 - CADENA 7/8 VELOC. C/GRIS-ROJO;6836,12;8654,83
 323;SLP - CAMBIO ECO ACERO MTB AL CUADRO;3515,80;4557,84
327;SLP - CAMBIO ECO ACERO AL EJE;3240,05;3760,22
5172;LTWOO A3 - CAMBIO DURAL 24V. AL CUADRO;14702,08;17062,37
5494;SENSAH - CAMBIO MX7 MTB 7 V.DURAL AL CUADRO;13149,58;15260,64
311;WINNER - CAMBIO AL CUADRO 24V. SIMIL ALTUS;6266,28;7272,28
96;SHIMANO - CAMBIO ALTUS M310 P/7-8 VELOC.CAJA;32727,26;37981,35
2294;SHIMANO - CAMBIO TOURNEY TY200 P/6-7 VEL.;16170,98;18767,10
2295;SHIMANO - CAMBIO TY300 TOURNEY 7 VELOC.EN CAJA;25833,20;29980,50
90;WINNER - CAMBIO 7 VEL.PATA LARGA SIMIL SHIMANO TZ500;5401,71;6458,88
5145;LTWOO A2 - NUEVO CAMBIO DURAL 21V AL CUADRO;10695,69;12988,53
319;SUANGIN TZ - CAMBIO 21V ACERO SIMIL SHIMANO TZ;9053,70;10994,54
1070;FOXTER -CANASTO ENREJADO NEGRO OVALADO FONDO CHAPA;7533,27;9007,60
3554;MAXXUM - CANASTO PLASTICO R.20 MEDIANO BLANCO DEL.;4478,51;5355,00
3553;"MAXXUM - CANASTO DELANTERO ""PLASTICO LUJO"" GRANDE";9724,77;11628,00
3556;"MAXXUM - CANASTO TRASERO ""PLASTICO"" GRANDE LUJO";10108,64;12087,00
1750;POWER/SLP - CANASTO R12/16 PLASTICO C/FLORES ENREJ;4836,81;5783,42
1759;POWER - CANASTO ENREJ. PLASTICO C/FLORES ROD. 20;4836,81;5783,42
2110;PONTINA - CANASTO DE MIMBRE CON VARILLA PLANCHUELA;22741,37;27390,00
4175;FOXTER - CANASTO PLASTICO R.26 LUJO C/VAR.PLANCH.;10540,39;12603,24
 990;WANDA - CAMARA CLINCHER 700 X 23MM V.TUBO 40/48MM;4709,83;5631,59
991;WANDA - CAMARA CLINCHER 700x23 VALV.TUBO 60MM;4942,77;5910,12
3021;CHAOYANG - CAMARA CLINCH.700X18/23 - DE 48 Y 60MM;8584,17;9962,29
3347;"ROVI - CALZA CORTA LYCRA ""NEGRA""CURVADA C/REFUERZO";29475,74;34207,82
3348;"ROVI - CALZA CORTA LYCRA ""C/MARCAS"" CURV.C/REFUERZO";32473,27;37686,58
3773;LIMA - CALZA CORTA NEGRA/COLOR REFLEX REFORZ.C/PU�O;45622,82;49738,26
3791;LIMA - CALZA LARGA UNISEX REFLEX;62212,94;67824,90
2064;WINNER - ESLINGA CON CANDADO ACERO 32 MM C/LLAVES;6571,33;7626,30
458;SLP - CANDADO ENRUL.6mm X 1m C/LLAVE Y SOPORTE;4287,87;5419,77
530;SLP - CANDADO ENRUL.12mm X 1m C/LLAVE Y SOPORTE;5501,65;6419,03
3065;FIRE BIRD - CANDADO ENRULADO DE 10mm X 1.50m S/SOP;7330,84;8765,56
4713;COOL - CANDADO ENRULADO 12MM X 1.5MTS C/SOPORTE;7763,79;9283,24
1148;FIRE BIRD - CANDADO MOTO ARTICULADO 25MM X 1.2M;20720,23;24046,69
3199;FIRE BIRD - CANDADO MOTO CADENA FORRADA 6x1.2mt;21454,56;24606,34
6801;SLP - CANDADO MOTO ARTICULADO 18MM X 1M AZUL;8557,38;10391,83
605;GOLDEN KEY - CANDADO MOTO ARTICULADO 22MM X 1.5MTS;15708,55;18782,86
752;FIRE BIRD - CANDADO COMBINACION 4 NROS.8mm X 1mt;4927,61;5718,70
1145;MAXXUM - CARAMA�OLA MTB 750CC MTB COMPLETA C/SOP.;4094,64;4896,00
2612;MAXXUM TERMIC - CARAMA�OLA TERMICA BOTELLA SOLA;7549,49;9027,00
1146;SMART - PORTACARAMA�OLA CHATO PLASTICO IND.ARG.;2815,07;3366,00
